premise,hypothesis,label,genre,pairID,strat_key
The Leland Act  (1) simplify the household definition,The Leland Act defines the legal definition of what a household is.,neutral,government,39960n,government_neutral
But the third try worked better.,The third try worked better because we had proper tools.,neutral,fiction,35382n,fiction_neutral
'Can I get a drink?',Can you drink hot soup?,neutral,fiction,57345c,fiction_neutral
"The Indigenous Project, a new program run by the Oregon Law Center, is one of only a handful of places in the United States where indigenous farmworkers from Mexico and Central America can find free and confidential legal aid.",The Indigenous Project is run by the Nebraska Law Center.,contradiction,government,62982c,government_contradiction
"The only comprehensible explanation is that the vocation that had burrowed in next to medicine had taken control, had insisted.",The only explanation is that the job that had been close to medicine had wrestled control of it.,entailment,slate,40708e,slate_entailment
"First, we can acknowledge, and maybe even do something about, some of the disaffecting fallout from globalization, such as pollution and cultural dislocation.",We can acknowledge there is fallout from globalization around the world.,entailment,slate,18636n,slate_entailment
"Gordon, Robert J. Does the 'New Economy' Measure Up to the Great Inventions of the Past.",There were great inventions in the past.,entailment,government,133232e,government_entailment
Jon ran as the tunnel collapsed behind him.,The tunnel collapsed behind Jon as he ran.,entailment,fiction,11697e,fiction_entailment
oh uh-huh well no they wouldn't would they no,"No, they wouldn't go there.",neutral,telephone,143945n,telephone_neutral
"Civil libertarians denounced it as an improper church-state partnership, a sectarian scheme to milk the taxpayer, and a feel-good diversion from the rest of the coalition's agenda.",The coalition's core agenda is to reduce government's role in daily life.,neutral,slate,71273n,slate_neutral
"Despite their 17th-century origins, these gardens avoid the rigid geometry of the Tuileries and Ver?­sailles.",The gardens are not shaped like the Tuileries or Versailles.,entailment,travel,133789e,travel_entailment
"Of particular significance --the American public has become acutely aware of the hazards to their health, including the risk of mortality, posed by inhalation of fine particles and exposure to mercury through fish consumption.",The consumption of fish is the main way in which mercury poisoning occurs.,neutral,government,126154n,government_neutral
He was waiting for the Scotland Yard men. ,He knew how far they were.,neutral,fiction,36783n,fiction_neutral
oh for heaven sakes for the drugs yeah uh-huh,Drugs aren't a factor.,contradiction,telephone,40179c,telephone_contradiction
For the first time I entertained the idea of taking my talents to that particular market… .,"I had never considered doing it before, but I did now.",entailment,fiction,74629e,fiction_entailment
You're the Desert Ghost.,You're the Desert Ghost from the sand dunes.,neutral,fiction,50248n,fiction_neutral
"But for some recipients, there is a downside to the checks from Anthem Inc., issued to policyholders as part of the insurer's conversion to a publicly traded company.",There is a downside to the checks from Anthem Inc,entailment,government,31369e,government_entailment
"Further, given the dynamic environment agencies face, employees need incentives, training, and support to help them continually learn and adapt.",Operating conditions change over time and it is important to ensure that employees receive resources geared toward preparing them to face changes.,entailment,government,43365e,government_entailment
yeah that's up here in New England that's we call that backpacking which is the same thing which is you're you've got everything on your back you know an aluminum camp frame uh,"In the Northeastern United Stated, they hike with all of their supplies on their back.",entailment,telephone,51410e,telephone_entailment
"And, could it not result in a decline in Postal Service volumes across--the--board?",Is it possible there would be a decline in all the Postal Service volumes?,entailment,government,73278e,government_entailment
The chain wielder smiled at her.,The chain wielder frowned at her.,contradiction,fiction,139311c,fiction_contradiction
 8th circa b.c.Greeks colonize Sicily and other southern regions,"Before colonizing the southern regions, the Greeks conquered the northern regions.",neutral,travel,37584n,travel_neutral
"He and his wife had lived at Styles Court in every luxury, surrounded by her care and attention. ",She was cared for very well at Styles Court.,entailment,fiction,36814e,fiction_entailment
"The word itself, tapa, is translated as  lid  and derives from the old custom of offering a bite of food along with a drink, the food being served on a saucer sitting on top of the glass like a lid.",Tapas are large portions and are a very filling meal.,contradiction,travel,93236c,travel_contradiction
"Ah, yes, actually, two weeks ago we had a very similar situation, the captain alertly added and quickly changed the subject, 'What's important now is that you get ready for about 2 minutes in the state of weightlessness, and not some Slovakian satellite from two weeks ago.",The situation that happened two weeks ago was all that the captain ever wanted to talk about and he refused to change the subject. ,contradiction,fiction,48287c,fiction_contradiction
"At the top, it bore the printed stamp of Messrs. ",It has a Messrs stamp.,entailment,fiction,88419e,fiction_entailment
"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair.",The chair was tall and made of wood. ,neutral,fiction,68181n,fiction_neutral
"After their savage battles, the warriors recuperated through meditation in the peace of a Zen monastery rock garden.",The warriors recuperated through mediation learned from monks.,neutral,travel,14459n,travel_neutral
"Once they know their Social Security benefits promised under current law, workers can calculate how much they can expect from employer-sponsored pension plans and how much they need to save on their own for retirement.",Employer sponsored pension plans give workers money so that they can save for retirement.,entailment,government,96448e,government_entailment
"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.",She has chose to live a hollow life.,contradiction,slate,13316c,slate_contradiction
(Hypothetical data for this example are given in table 2.2.),The days doesn't exist,contradiction,government,126654c,government_contradiction
They're both excited about it ...,They're excited about the zoo. ,neutral,slate,4777n,slate_neutral
"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs.",IDPA's OIG's mission is clear and cares about payment programs.,entailment,government,98345e,government_entailment
The world ripped apart around them replaced with a world of fear and blood and fire.,They were living in a land filled with turmoil.,entailment,fiction,14300e,fiction_entailment
"Flanked with patches of forest leading up into the foothills of the Himalayas, the flat plain stretches right across to the Bay of Bengal 1,600 km (1,000 miles) away, but some areas are kept as nature reserves for the country's wildlife, notably its tigers, leopards, and elephants.",Some areas from the foothills of the Himalayas to the Bay of Bengal are kept as nature reserves.,entailment,travel,62398e,travel_entailment
"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. ","So it was hidden in another country, impossible for us to locate?",contradiction,fiction,139409c,fiction_contradiction
"Others are Zao (in Tohoku) and a number of resorts in Joshin-etsu Kogen National Park in the Japan Alps, where there are now splendid facilities thanks to the 1998 Winter Olympic Games in Nagano.",The national park is just for camping.,contradiction,travel,20116c,travel_contradiction
"One of the city's attractions is the shopping center around the Place Darcy and Rue de la Libert??, where you can hunt for such regional delicacies as the famous mustards; pain d'??pices (gingerbread); and cassis, the blackcurrant liqueur that turns an ordinary white wine into a deliciously refreshing kir.",There is nowhere to shop in the city.,contradiction,travel,143996c,travel_contradiction
and they're more independent and there's things to do then it's good for them to go to different i mean it he goes to a a mother's day out program now once a week both of my kids do,More things are available to them when they become independent.,neutral,telephone,60436n,telephone_neutral
"Clearly, yes.","Obviously, the answer is no. ",contradiction,slate,99438c,slate_contradiction
"Although a mile long, its name is misleading because it is not one street but several different streets.",It is a mile long.,entailment,travel,70320e,travel_entailment
He knew how the Simulacra was supposed to develop.,He didn't know about Sims.,contradiction,fiction,54383c,fiction_contradiction
"We still espouse a God-given right of human beings to use the environment for their benefit, says Barrett Duke of the Southern Baptists.",Duke says we can use the environment to our benefit.,entailment,slate,137715e,slate_entailment
"With their fluent Vietnamese and Mandarin, they help Tran understand her family's eligibility for Medi-Cal and food stamps, assist the 70-year-old woman in finding a place to live and advise abused women how they can stay in the country while staying away from their husbands.",Tran was advised on opportunities for her family. ,entailment,government,130629e,government_entailment
they'll they'll say yeah why didn't you buy why didn't you try something more mainline,They will scoff at you for doing something so mainline.,contradiction,telephone,118889c,telephone_contradiction
trying to keep grass alive during a summer on a piece of ground that big was expensive,"The watering and fertilizer, can cost a lot to keep grass alive in the summer months.",neutral,telephone,46003n,telephone_neutral
Its facilities include a swimming pool and a peaceful garden.,There's a pool and a garden on the premises.,entailment,travel,2507e,travel_entailment
so who so if you go out and you're talking like a ten or fifteen thousand dollar vehicle and you add that sales tax on that's a that's a big chunk of change you have to come up with,"If you add sales tax to a ten thousand dollar vehicle, that a lot of money.",entailment,telephone,53953e,telephone_entailment
NHTSA noted that the only other possible interpretation of section 330 was to treat the phrase standards promulgated . . . prior to the enactment of this section as,It all happened after the enactment of this section as,contradiction,government,48007c,government_contradiction
they they are good,They're excellent.,entailment,telephone,88210e,telephone_entailment
"The good news, however, can be found in reports like this one.",This report contains only bad information and should be destroyed immediately. ,contradiction,government,47260c,government_contradiction
It's all right.,It is well.,entailment,fiction,80092e,fiction_entailment
Decline in total expenditure (income) elasticity of demand from 0.36 to 0.25 over same period.,This decline in elasticity of demand is due to changes in trends in the market.,neutral,government,37607n,government_neutral
"She hates me.""",She does not like me. ,entailment,fiction,25191e,fiction_entailment
There were maybe three hundred people present.,300 people were there.,entailment,fiction,8989e,fiction_entailment
those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,neutral,telephone,118995n,telephone_neutral
No. I guess I'm going too.,I guess I'm not going to come.,contradiction,fiction,71870c,fiction_contradiction
"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding.",Everyone embraced the end of the shoulder pad craze.,neutral,slate,26443n,slate_neutral
The island has a long history; its marble deposits were coveted around the ancient world.,The island was settled on very recently.,contradiction,travel,139621c,travel_contradiction
"A portion of the nation's income, in turn, is saved, allowing for additional investment in domestic factories, equipment, and other forms of capital that workers use to produce more goods and services or for investment abroad.",Domestic industry and workers depend greatly on the nation's income.,neutral,government,35787n,government_neutral
yeah i do remember that and uh i remember as a kid my parents watching the Ed Sullivan Show that was really the big deal in our household was the Ed Sullivan Show yeah i guess i guess it was a Saturday night and i went to see the movie The Doors a couple of days ago and they had this scene,I remember watching the Ed Sullivan Show when I was a kid.,entailment,telephone,25109e,telephone_entailment
"If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.",It would not be possible if he was an assistant with a sick mom. ,entailment,slate,102983e,slate_entailment
The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker is being forced to enter the country for work.,contradiction,government,35664c,government_contradiction
A re-created street of colonial Macau is lined with traditional Chinese shops.,"You'll find plenty of authentic, old-world restaurants on that street.",neutral,travel,7865n,travel_neutral
yeah i can usually i can put in oh probably mid March i can put anything in the ground you know beets and onions and stuff like that,"I can put pretty much anything in the ground, from beets to onions.",entailment,telephone,67051e,telephone_entailment
